Syr Konrad, the Grim	B	xmpK	2
Etali, Primal Storm	R	kobD	2
Ragavan, Nimble Pilferer	R	akCP	2
Braids, Arisen Nightmare	B	xrhS	3
Azusa, Lost but Seeking	G		1
Loran of the Third Path	W	r	2
Toski, Bearer of Secrets	G	krC	3
Kutzil, Malamet Exemplar	WG	krnC	2
Lotho, Corrupt Shirriff	WB	aU	1
Selvala, Heart of the Wilds	G	brN	2
Mondrak, Glory Dominus	W	xS	2
Sram, Senior Edificer	W	aevr	1
Sheoldred, the Apocalypse	B	lrh	2
Ghalta, Primal Hunger	G	bD	1
Tatyova, Benthic Druid	UG	ldrNP	1
Birgi, God of Storytelling	R		3
Vito, Thorn of the Dusk Rose	B	lS	1
Adeline, Resplendent Cathar	W	tkK	2
Six	G	gkdN	2
Emry, Lurker of the Loch	U	gaWP	2
Elas il-Kor, Sadistic Pilgrim	WB	lxp	2
Mangara, the Diplomat	W	r	2
Goreclaw, Terror of Qal Sisma	G	kbC	2
Purphoros, God of the Forge	R	tpb	3
Sheoldred, Whispering One	B	gxb	2
Niv-Mizzet, Parun	UR	srpDW	3
Avacyn, Angel of Hope	W	bK	1
Talrand, Sky Summoner	U	tsWP	1
Veyran, Voice of Duality	UR	sfW	2
Peregrin Took	G	axrU	2
Etali, Primal Conqueror	RG	kbiD	3
Danitha Capashen, Paragon	W	evK	1
Urza, Lord High Artificer	U	ta	3
Sai, Master Thopterist	U	taxr	2
Ashaya, Soul of the Wild	G	d	2
Aurelia, the Warleader	WR	kK	2
Yawgmoth, Thran Physician	B	cxr	2
Kodama of the West Tree	G	kbdS	2
Aesi, Tyrant of Gyre Strait	UG	drP	1
Ayara, First of Locthwain	B	lxrpN	2
Delney, Streetwise Lookout	W	f	2
Elesh Norn, Grand Cenobite	W	t	2
Boromir, Warden of the Tower	W	U	2
Rishkar, Peema Renegade	G	cN	2
Ojer Taq, Deepest Foundation	W	tb	3
Solphim, Mayhem Dominus	R	S	2
Krenko, Tin Street Kingpin	R	tck	1
Jaheira, Friend of the Forest	G	tN	1
Padeem, Consul of Innovation	U	ar	2
The Gitrog Monster	BG	xdrbCS	3
Old Gnawbone	G	akbD	1
Loot, Exuberant Explorer	G	d	3
Bristly Bill, Spine Sower	G	cdN	2
Omnath, Locus of Rage	RG	tdpy	2
Sythis, Harvest's Hand	WG	elrN	1
